title,phone,address,googlemap_address_url,region,city,discount_details
مجمع عيادات سلطان الطبي (حي الفيصلية ),tel:0597661516,العنوان : طريف - حي الفيصلية - شارع العشرين,"https://www.google.com.sa/maps/place/31%C2%B040'19.1%22N+38%C2%B040'53.6%22E/@31.6719795,38.6837551,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d31.6719795!4d38.6815664?hl=ar",المنطقة  الشمالية,طريف,"{'*خصم   على خدمة الكشف جميع العيادات .': '50', '*خصم   على الأشعة العادية والتلفزيونية .': '40', '*خصم   على التحاليل الطبية المخبرية .': '30', '*خصم  على عيادات الأسنان .': '25', '*خصم  على الطوارئ .': '25', '*خصم  على السونار وتتبع الحمل .': '30', '*خصم   على باقي الخدمات .': '20', '*خصم  على الصيدلية جميع العلاجات .': '10'}"
صيدلية ميون الطبية (الطريق الحديدي),tel:0546642670,العنوان : وادي الدواسر - الطريق الحديدي مقابل مجمع ال وديان,https://www.google.com/maps/place/20°26'15.6,المنطقة الوسطى,وادي الدواسر,{'خصم على الادوية': '10'}
مجمع منى طريف الطبي (حي الخليج ),tel:0146650922,العنوان : طريف - حي الخليج شارع خالد بن الوليد,"https://www.google.com.sa/maps/place/31%C2%B039'40.1%22N+38%C2%B040'24.0%22E/@31.6559755,38.6762648,15.25z/data=!4m5!3m4!1s0x0:0x0!8m2!3d31.6611508!4d38.6733214?hl=ar",المنطقة  الشمالية,طريف,"{'*خصم  على الكشف في جميع العيادات .': '30', '*خصم   على الأشعة والموجات الصوتية .': '20', '*خصم   على إزالة الشعر بالليزر والمعالجات الأخرى .': '20', '*خصم   على جميع التحاليل بالمختبر .': '20', '*خصم   على خدمات الأسنان .': '20', '*خصم   على الصيدلية .': '5', '*خصم   على باقي الخدمات .': '20'}"
مجمع عناية طريف الطبي (حي اليرموك),"tel:0146503000,tel:0502222642",العنوان : طريف - حي اليرموك -الحدود الشمالية,https://www.google.com/maps/place/31°40'28.3,المنطقة  الشمالية,طريف,"{'*خصم   على الكشف .': '30', '*خصم   على خدمات عيادة النساء والولادة .': '20', '*خصم   على الموجات الصوتية .': '30', '*خصم   على خدمات عيادة الاطفال .': '20', '*خصم   على الطوارئ .': '20', '*خصم   على خدمات مختبر التحاليل': '20', '*خصم   على خدمات الاسنان .': '15', 'عيادة الباطنية': '20'}"
نظارات فرزة ( جميع الفروع ),,العنوان : نظارات فرزة  الهواتف :  0555789800 أحمد فاروق مشرف منطقة جيزان ونجران ومحايل . 0552334446 ماجد خلف مشرف منطقة أبها وخميس وتبوك وبيشة وجدة . 0500743157 عبده المحمدى مشرف منطقة القصيم وحائل  وينبع والرياض .,,المنطقة  الشمالية,حائل,"{'فحص النظر مجاناً( لحاملي بطاقة تكافل العربية) .': '-', 'خصم  على النظارات الطبية (العدسات العادية) .': '50', 'خصم على النظارات الشمسية .': ' 40', 'خصم  على العدسات اللاصقة  .': '10', 'خصم على العدسات اللاصقة (التوريك) .': '10', 'خصم  على العدسات اللاصقة الصلبة  .': '10', 'خصم  على النظارات الماركات الاصلية .': '10', 'خصم على العدسات الطلبيات  .': ' 10'}"
بصريات بدر نجد (حي اليرموك),tel:0566192261,العنوان : طريف - حي اليرموك - شارع عشرين,"https://www.google.com.sa/maps/place/31%C2%B040'31.4%22N+38%C2%B040'11.1%22E/@31.6753979,38.6719427,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d31.6753979!4d38.669754?hl=ar",المنطقة  الشمالية,طريف,"{'*فحص النظر مجانا لحاملي بطاقة تكافل العربية .': ' ', '*خصم   على النظارات الشمسية .': '70', '*خصم   على النظارات الطبية .': '50', '*خصم   على العدسات االاصقة .': '20'}"
مجمع ابتسامة السامر (الحويه - الدهاس ),tel:0127254634,العنوان : الحويه - الطايف - الدهاس - طريق المطار القديم,"https://www.google.com/maps/place/عيادة ابتسامة السامر‭/@21.447212,40.5113237,17z/data=!3m1!4b1!4m5!3m4!1s0x15ea2fad938b2831:0x7b7aa701b8e47361!8m2!3d21.447212!4d40.509135?hl=ar-SA",المنطقة الغربية,الطائف,"{'الكشف والاستشاره مجانا في حال حصول العميل على خدمه': ' ', 'التقويم': '20', 'باقي الخدمات المتوفره بالمجمع': '30', 'خصم على العروض العامه الاكثر من خصم تكافل العربيه': '10', 'الخصم لا يشمل عيادة الدكتور طريف السباعي': ' ', 'للاستفادة من الخصم يرجى ابرز بطاقة تكافل العربيه قبل اخذ الخدمه': ' ', 'الخصم لا يشمل اي خصومات اخري ياخذها العميل ماعدا العروض العامه يوجد 10% خصم اضافي عليها': ' '}"
نادي بلاتينيوم الرياضي (حي الوسيطاء),tel:هاتف :  0165660202,العنوان : نادي بلاتينيوم الرياضي العنوان : حائل - حي الوسيطاء - طريق الملك عبدالله بجوار محطة الشعله,"https://www.google.com.sa/maps/place/27%C2%B030'27.9%22N+41%C2%B040'01.9%22E/@27.5092414,41.6737819,15z/data=!4m5!3m4!1s0x0:0x0!8m2!3d27.5077585!4d41.6671862?hl=ar",المنطقة  الشمالية,حائل,"{'*اشتراك 3 اشهر مع ايقاف 20 يوم .': '499', '*اشتراك 6 اشهر مع ايقاف 45 يوم .': '800 ', '*اشتراك 12 شهر  مع ايقاف 60 يوم .': '1190'}"
مجمع الشفاء الطبي,tel:0135660099,العنوان : مجمع الشفاء الطبي العنوان : بقيق- المدينة - طرق الملك عبدالعزيز,"https://www.google.com/maps/place/%D9%85%D8%AC%D9%85%D8%B9+%D8%A7%D9%84%D8%B4%D9%81%D8%A7%D8%A1+%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%E2%80%AD/@25.9191417,49.6566268,15.75z/data=!4m5!3m4!1s0x3e3648645d7b67c3:0xdd47e8759576275e!8m2!3d25.9190056!4d49.6567101?hl=ar",المنطقة  الشرقية,بقيق,"{'*خصم على الكشف .': '30', '*خصم على المختبر والأشعة .': '25', '*خصم  على باقي الخدمات .': '25', '*خصم على الليزر والتجميل .': '15', '*خصم  على الأسنان .': '20', '*خصم  على التركيبات .': '10', '*خصم على متابعة الحمل .': '25', '*خصم على الصيدلية .': '5'}"
مختبرات حائل الجديدة (المنتزه الشرقي),tel:هاتف :   0165585511,العنوان : مختبرات حائل الجديدة العنوان : حائل - المنتزه الشرقي - شارع الامير نايف بن عبدالعز,"https://www.google.com.sa/maps/place/27%C2%B032'57.6%22N+41%C2%B042'12.3%22E/@27.5506859,41.7103414,16z/data=!4m5!3m4!1s0x0:0x0!8m2!3d27.5493422!4d41.7034246?hl=ar",المنطقة  الشمالية,حائل,{'*خصم  على جميع التحاليل .': '40'}
صيدلية الماس,tel:0165355858,العنوان : فرع رقم 1 صيدلية الماس المنتزه الشرقی ) بجوار مجمع عيادات الماس  فرع رقم 2 صيدلية الماس ( حي الجبل )  فرع رقم 3صيدلية الماس ( السمراء )  فرع رقم 4 صيدلية الماس ( اسفل مجمع عيادات بانوراما ),,المنطقة  الشمالية,حائل,"{'خصم على كافة الاصناف الموجودة بصيدليات': '5', 'لا يوجد خصم على الحليب و الورقيات': '-'}"
مركز دكتور نيوترشن ( جميع الفروع ),tel:0118103068,العنوان : مركز دكتور نيوترشن ( جميع الفروع ) للإستفسار عبر الواتس أب او الاتصال  :,,المنطقة  الشمالية,حائل,"{'*باقة (التوفير) سعر الباقة قبل الخصم (750) ريال , بعد الخصم (600) ريال .': '-', '*باقة (البرونزية) سعر الباقة قبل الخصم (950) ريال , بعد الخصم (750) ريال .': '-', '*باقة (الفضية) سعر الباقة قبل الخصم (1500) ريال , بعد الخصم (1100) ريال .': '-', '*باقة (التيتانيوم) سعر الباقة قبل الخصم (2500) ريال , بعد الخصم (2000) ريال .': '-', '*باقة (الذهبية) سعر الباقة قبل الخصم (3500) ريال , بعد الخصم (2999) ريال .': '-', '*باقة (البلاتينية) سعر الباقة قبل الخصم (4500) ريال , بعد الخصم (4000) ريال .': '-', '*باقة (الوزن المثالي) سعر الباقة قبل الخصم (5555) ريال , بعد الخصم (5000) ريال .': '-', '*باقة (الماسية) سعر الباقة قبل الخصم (7250) ريال , بعد الخصم (5999) ريال .': '-', '*باقة (vip) سعر الباقة قبل الخصم (8500) ريال , بعد الخصم (6999) ريال .': '-'}"
الوزان للبصريات (جميع الفروع),tel:0138633644,العنوان : الوزان للبصريات (جميع الفروع) الهاتف : 0138633644  الفروع :  *القطيف الرئيسي : شارع القدس - مقابل بنك الرياض – تليفون 0138524056 * القطيف الخنيزي : مقابل مجمع الخليزي – تليفون 0138554188 *سيهات الرئيسي: الشارع العام – مقابل بنك العربي تليفون 0138390034 * سيهات مجمع الحطيبي: مقابل بنك ساب ـ تليفون 0138377937 *البحيره الدمام : البحيرة بلازا - شارع الخليج تليفون 0138347747 *الدمام الرئيسي: شارع الظهران مقابل امارة الدمام- تليفون 0138346308 *الفني الدمام: شارع الملك سعود – بالقرب من مجمع الدانه - تليفون 0138326641 *الدمام الخليج : الخليج سنترو - بالقرب من مجمع دارين مول – تليفون 0138023822 *احد الدمام : سنترو احد  - شارع 91 بالقرب من سنتربوينت – تليفون 0138028863 *الاندلس الدمام : الاندلس بلازا - بالقرب من هيبر بنده تليفون 0138432762 *الراشد مول الخبر : مجمع الراشد- تليفون 0138693699 *الخبر الرئيسي : مجمع الخليج شارع الكورنيش تليفون 0138524056 *الثقبة : شارع مكه – مقابل بنك الرياض – تليفون 0138969494 *الجبيل: حي الفناتير – مقابل بنك الرياض تليفون 0133477714 *الاحساء: مجمع العثيم- الدور الاول – تليفون 0135840161 *الاحساء الرئيسي : شارع الظهران- مجمع العفالق – تليفون  0135311552 *بقيق : شارع جده مقابل البريد السعودي - تليفون 0135660410,,المنطقة  الشرقية,بقيق,"{'*فحص البصر مجانا لحاملي بطاقة تكافل العربية في حال الشراء .': '  ', '*خصم على النظارات الطبية ( هوم براند ) .': '25', '*خصم على النظارات الطبية ( ماركات العالمية ) .': '20', '*خصم على  النظارات الشمسية ( ماركات العالمية ) .': '25', '*خصم على النظارات الشمسية ( هوم براند ) .': '15', '*خصم على العدسات الطبية .': '20', '*خصم على العدسات اللاصقة ( هوم براند ) .': '15', '*ملاحظة: يستثنى بعض الماركات من هذه الخصومات .': '    '}"
مجمع عيادات منار الصحة,"tel:0135660163,tel:0559193285",العنوان : بقيق *  حي المطار *طريق الملك عبد العزيز,"https://www.google.com/maps/place/مجمع عيادات منار الصحة‭/@25.9292082,49.6607714,17z/data=!3m1!4b1!4m5!3m4!1s0x3e3648784d4bc34d:0x4b74d49d4734c021!8m2!3d25.9292082!4d49.6585827",المنطقة  الشرقية,بقيق,"{'كشف الطبيب العام': '50', 'كشف الأخصائي': '30', 'خدمات المختبر والتحاليل والأشعة': '30', 'خدمات الأسنان': '25', 'خدمات الطوارئ': '25', 'باقي الخدمات': '25', 'خصم اضافي على العروض الخاصة': '10', '(الخصم لايشمل عيادة الأطفال)': '  ', 'الرجاء اظهار بطاقة تكافل العربية  للاستقبال قبل اخذ الخدمة': ' '}"
مجمع شيار (ممشى التنعيم ),"tel:0125566662,mailto:shiyar_clinic@hltmail.com",العنوان : مكه المكرمة - التنعيم 4 - الممشى,"https://www.google.com/maps/place/مجمع شيار الطبي‭/@21.5134,39.7856739,15z/data=!4m5!3m4!1s0x0:0x2c203416486ece8f!8m2!3d21.5134!4d39.7856739",المنطقة الغربية,مكة المكرمة,"{'الكشف وفتح الملف والاستشاره': 'مجانا ', 'اشعة صغيره': '20', 'اشعة بانوراميه': '100', 'حشوة تجميليه': '150', 'تركيبة البورسلين': '400', 'تركيبة الزركون': '700', 'توريد اللثه للفك': '400', 'التقويم  المعدني الدفعه الاولى شاملة التركيب': '1000', 'خصم على الشد لتقويم الاسنان': '25', 'تنظيف الاسنان البسيط': '100', 'تبييض الاسنان المنزلي': '500', 'تبييض الاسنان بالليزر': '800', 'سناب او ن سمايل ابتسامة هوليود المتحركه': '1000', 'خصم على باقي الخدمات': ' 25', 'خصم على العروض العامة': '   5'}"
مجمع رنا الطبي العام (شارع المدينة المنورة),tel:0553391439,العنوان : القريات - شارع المدينة المنورة الأربعين سابقا باتجاه مصلي العيد الغربي امام دهانات الجزيرة,"https://www.google.com.sa/maps/place/31%C2%B018'22.0%22N+37%C2%B020'15.2%22E/@31.3061047,37.339736,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d31.3061047!4d37.3375473?hl=ar",المنطقة  الشمالية,القريات,"{'*كشف الاسنان .': '15 ', '*خصم   على جميع خدمات الأسنان .': '25', '*خصم   على العروض الخاصة .': '10'}"
مجمع البترجي الطبي العام (مكة المكرمة العزيزية شارع عبدالله خياط),tel:0125566654,العنوان : مكة المكرمة العزيزية شارع عبدالله خياط,"https://maps.google.com/maps/search/مستوصف البترجي/@21.399612426757812,39.87165832519531,17z?hl=ar",المنطقة الغربية,مكة المكرمة,"{'كشف الطبيب العام': '25', 'كشف الاخصائي في جميع العيادات': '50', 'كشف الاستشاري': '200', 'كشف الاسنان': '25', 'السونار للحمل': '125', 'خدمات عيادة النساء والولادة': '30', 'الولادة الطبيعيه الطارئه': '2000', 'استدعاء خارج الدوام الرسمي': '100', 'الجراحات الصغرى': '20', 'العمليات التجميليه بعد الولاده': '20', 'الاشعة وخدماتها': '20', 'المختبر والتحاليل داخل المجمع': '  30', 'خدمات الاسنان ما عدا التركيبات': ' 30', 'تركيبات الاسنان': ' 30', 'الطوارئ وخدماتها': '30', 'العروض العامه': '5', 'للاستفاده من الخصم ابراز بطاقة تكافل العربيه  مع الهويه قبل اخذ الخدمه': ' ', 'الخصم لا يشمل الاطباء الزائرين': ' ', 'اثناء العروض العامه بالمجمع 5% على العروض العامه والخصم لا يشمل اي خصومات اخرى يحصل عليها العميل': ' '}"
مجمع الجوف لطب الاسنان (حي السلام),tel:0146250011,العنوان : العنوان : الجوف- حي السلام,"https://www.google.com.sa/maps/place/29%C2%B057'50.8%22N+40%C2%B011'47.3%22E/@29.9641228,40.1986723,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d29.9641228!4d40.1964836?hl=ar",المنطقة  الشمالية,الجوف (سكاكا),"{'*الكشف مجانا لحاملي بطاقة تكافل العربية .': ' ', '*خلع عادي': '100', '*اشعة صغيرة': '30', '*حشوة تجميلية': '200', '*خلع ضرس العقل': '350', '*تركيبة البورسلين': '350', '*تركيبة الزيركون': '700', '*معالجة اللثة': '175', '*توريد اللثة': '200', '*تنظيف الاسنان': '100', '*ابتسامة هوليود': '700', '*قوالب التبييض المنزلي': '400', '*خصم على باقي الخدمات .': '30', '*خصم على العروض الخاصة .': '10'}"
مجمع دار القريات التخصصي الطبي (حي الحميدية),tel:0569392004,العنوان : القريات - حي الحميدية - طريق مكة المكرمة,"https://www.google.com.sa/maps/place/31%C2%B019'26.9%22N+37%C2%B021'05.9%22E/@31.3241074,37.3537916,17z/data=!4m5!3m4!1s0x0:0x0!8m2!3d31.3241348!4d37.351635?hl=ar",المنطقة  الشمالية,القريات,"{'*الكشف مجانا لعيادة الاسنان لحاملي بطاقة تكافل العربية .': ' ', '*الكشف لجميع العيادات .': '25 ', '*خصم  على تنظيف الاسنان .': '50', '*خصم  على معالجة الاسنان.': '30', '*خصم  على خلع الاسنان .': '50', '*خصم  على عيادة المسالك البولية.': '30', '*عيادة النساء والولادة (جهاز الالتراساوند )  .': '75', '*خصم  على المختبر لجميع تحاليل كيمياء الدم.': '50', '*خصم  على باقي التحاليل .': '30', '*خصم  على الاشعة .': '40', '*خصم   على الطوارئ .': '25', '*خصم   على الزيارات المنزلية .': '35'}"
مركز الابتسامة المشرقة لطب الاسنان (حي الحميدية),tel:0530369556,العنوان : القريات - حي الحميدية - طريق المدينة المنورة,"https://www.google.com.sa/maps/place/31%C2%B019'19.3%22N+37%C2%B021'07.3%22E/@31.3220253,37.3542242,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d31.3220253!4d37.3520355?hl=ar",المنطقة  الشمالية,القريات,"{'*كشف الاسنان مجاناً لحاملي بطاقة تكافل العربية .': ' ', '*خلع عادي  .': '75 ', '*اشعة صغيرة .': '25 ', '*حشوة تجميلية .': '100 ', '*تنظيف الاسنان .': '100 ', '*سناب اون سمايل (ابتسامة هوليود المتحركة ) للفكين .': '800 ', '*خصم  على معالجة اللثه .': '25', '*خصم  على معالجة الجذور .': '20', '*خصم  على العروض الخاصة .': '10'}"
نادي توب جيم (حي الرفاع),tel:0505387414,العنوان : القريات - حي الرفاع - مدارس مجد العلوم الاهلية,"https://www.google.com.sa/maps/place/31%C2%B018'43.1%22N+37%C2%B020'45.4%22E/@31.3119729,37.3481243,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d31.3119729!4d37.3459356?hl=ar",المنطقة  الشمالية,القريات,"{'*خصم  على كمال الاجسام .': '30', '*خصم  على اللياقة .': '30', '*خصم  على تخفيف وزن .': '30', '*خصم  على الحديد .': '30', '*خصم   على السباحة .': '30'}"
مجمع الدكتور بدر الطبي (الخالدية),tel:0146432333,العنوان : القريات - الخالدية - طريق الملك عبدالعزيز,"https://www.google.com.sa/maps/place/31%C2%B020'09.1%22N+37%C2%B020'12.9%22E/@31.3359792,37.3400572,15.75z/data=!4m5!3m4!1s0x0:0x0!8m2!3d31.3358529!4d37.336922?hl=ar",المنطقة  الشمالية,القريات,"{'*خصم  على الكشف في جميع العيادات .': '30', '*خصم  على الأشعة و خدماتها .': '20', '*خصم  على المختبر والتحاليل .': '20', '*خصم  على خدمات الأسنان .': '20', '*خصم  على الطوارئ وخدماتها .': '20', '*خصم   على باقي الخدمات الأخرى .': '20', '*خصم  على الصيدلية .': '5'}"
مجمع السعودي الاردني لتقويم وطب الاسنان (حي الحميدية),tel:0549720480,العنوان : القريات - حي الحميدية - شارع الملك خالد,"https://www.google.com.sa/maps/place/31%C2%B019'43.9%22N+37%C2%B020'37.4%22E/@31.3288577,37.3459188,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d31.3288577!4d37.3437301?hl=ar",المنطقة  الشمالية,القريات,"{'*كشف الاسنان مجاناً لحاملي بطاقة تكافل العربية .': ' ', '*خصم   على تقويم الاسنان الثابتة حسب الحالة .': '50', '*خصم  على علاج عصب الاسنان .': '20', '*خصم   على الحشوات التجميلية .': '20', '*خصم   على تنظيف الاسنان .': '20', '*خصم   على خلع الاسنان الجراحي والبسيط .': '10', '*خصم   على تركيبات الاسنان الثابتة (بورسلين) .': '10', '*خصم   على تركيبات الزيركون + امبروس .': '10', '*خصم   على علاج عصب اسنان الاطفال .': '20'}"
مجمع العجاج الطبي العام (حي الحميدية),tel:0146420011,العنوان : القريات - حي الحميدية - شارع تبوك,"https://www.google.com.sa/maps/place/31%C2%B019'54.6N+37%C2%B020'33.9E/@31.3318235,37.3449243,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d31.3318235!4d37.3427356?hl=ar",المنطقة  الشمالية,القريات,"{'*اشعة سنية صغيرة مجاناً لحاملي بطاقة تكافل العربية .': ' ', '*خصم  على الكشف في جميع العيادات .': '50', '*خصم  على خدمات المختبر .': '20', '*خصم  على خدمات الاشعة .': '20', '*خصم  على خدمات الطب العام والطوارئ .': '20', '*خصم  على خدمات الاسنان .': '10', '*خصم  على خدمات تقويم الاسنان .': '10', '*خصم  على الصيدلية .': '5'}"
صيدلية منار الصحة,"tel:0559193285,tel:0559193285",العنوان : بقيق حي المطار  طريق الملك عبدالله,"https://www.google.com/maps/place/مجمع عيادات منار الصحة‭/@25.9292082,49.6607714,17z/data=!3m1!4b1!4m5!3m4!1s0x3e3648784d4bc34d:0x4b74d49d4734c021!8m2!3d25.9292082!4d49.6585827",المنطقة  الشرقية,بقيق,"{'خصم على جميع الأدوية': '10', 'خصم على الحفائظ والحليب': '3', 'فضلا اظهر بطاقة تكافل العربية  قبل أخذ الخدمة': '  '}"
